acousticness,artists,danceability,duration_ms,energy,explicit,instrumentalness,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.887,['Frank Sinatra'],0.319,187333,0.201,0,0.0,0.904,-17.796,1,"The September Of My Years - Live At The Sands Hotel And Casino, Las Vegas/1966 / Show 2",27,2018-05-04,0.0623,117.153,0.239,2018
0.938,['Frank Sinatra'],0.2689999999999999,236800,0.129,0,4.87e-06,0.6829999999999999,-18.168,0,"It Was A Very Good Year - Live At The Sands Hotel And Casino, Las Vegas/1966 / Show 2",26,2018-05-04,0.0576,82.33200000000002,0.16,2018
0.3829999999999999,['The Seekers'],0.3879999999999999,188360,0.617,0,0.0,0.126,-4.614,1,The Carnival Is Over (Mono),9,2018-12-28,0.0288,76.03699999999998,0.674,2018
0.125,['The Yardbirds'],0.4970000000000001,174774,0.858,0,5.65e-06,0.287,-4.2330000000000005,1,Happenings Ten Years Time Ago - Single A-Side,12,2018-05-18,0.0614,127.104,0.564,2018
0.00157,['Matias Grandom'],0.693,194508,0.387,0,0.588,0.108,-13.82,1,Year 2000,20,2019-02-22,0.052,129.968,0.282,2019
0.0893,['Jay Tholen'],0.413,285080,0.617,0,0.00761,0.0786,-12.259,0,Millennium Anthem (2000 New Years Eve),19,2019-03-12,0.037,114.97,0.242,2019
0.0248,['David Bowie'],0.57,247280,0.907,0,0.00771,0.92,-8.382,0,"Golden Years - Live, Glastonbury, 2000",29,2018-11-30,0.0602,108.012,0.6970000000000001,2018
0.0225,['Foo Fighters'],0.547,254280,0.552,0,2.09e-06,0.653,-8.325,1,"Next Year - Live At The Chapel, Melbourne, Australia - Feb 2000",23,2019-07-05,0.0264,83.62,0.4679999999999999,2019
0.0125,['Selena Gomez & The Scene'],0.627,234347,0.81,0,3.09e-05,0.111,-5.296,0,A Year Without Rain,34,2019-07-12,0.0431,119.98,0.409,2019
0.943,"['Carl Rütti', 'Stephen Cleobury', ""Choir of King's College, Cambridge""]",0.1119999999999999,108333,0.138,0,0.914,0.103,-23.046,0,I wonder as I wander [2000],15,2018-11-09,0.0476,80.887,0.105,2018
0.0114,['Cameo Blush'],0.617,304160,0.926,0,0.8079999999999999,0.157,-5.2410000000000005,0,Year 2000 Problem,15,2019-08-16,0.0433,133.994,0.306,2019
0.0897,['Waveshaper'],0.804,169300,0.509,0,0.861,0.0808,-11.832,0,The Year Is 2003,19,2018-04-16,0.0435,130.011,0.732,2018
0.0403,"['Waveshaper', 'Oscillian']",0.537,209167,0.856,0,0.94,0.085,-8.412,1,The Year Is 2003 (Oscillian Remix),17,2018-11-02,0.0365,102.057,0.181,2018
0.00253,"[""Director's Cut"", 'Frankie Knuckles', 'Supernova']",0.861,440656,0.555,1,0.908,0.0979,-9.263,1,The Whistle Song - Supernova Remix,14,2019-04-12,0.0628,121.992,0.356,2019
0.00157,['Matias Grandom'],0.693,194508,0.387,0,0.588,0.108,-13.82,1,Year 2000,20,2019-02-22,0.052,129.968,0.282,2019
0.0101,['Fleetwood Mac'],0.518,269640,0.518,0,0.0207,0.409,-11.181,1,Silver Springs - 2004 Remaster,37,2018-11-16,0.0289,89.759,0.32,2018
0.196,['APRE'],0.6509999999999999,237778,0.89,0,7.219999999999999e-05,0.301,-4.745,0,Gap Year 2008,28,2019-03-29,0.0563,149.97899999999996,0.866,2019
0.977,['Piano Project'],0.602,238166,0.159,0,0.94,0.108,-24.209,1,100 Years,11,2019-05-29,0.0496,122.825,0.446,2019
0.00157,['Matias Grandom'],0.693,194508,0.387,0,0.588,0.108,-13.82,1,Year 2000,20,2019-02-22,0.052,129.968,0.282,2019
0.321,['City Blues Connection'],0.563,242347,0.7170000000000001,0,1.6e-05,0.29,-5.822,1,Tough Times (2005 Version),25,2019-09-30,0.0834,119.83,0.617,2019
0.196,['APRE'],0.6509999999999999,237778,0.89,0,7.219999999999999e-05,0.301,-4.745,0,Gap Year 2008,28,2019-03-29,0.0563,149.97899999999996,0.866,2019
0.3429999999999999,['Ian Miles'],0.598,232072,0.672,0,0.0004,0.121,-10.241,0,New Years Eve,8,2019-04-18,0.0327,104.974,0.552,2019
